GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe
48287,"Lee County, Texas",76371,8546,1986,594,17524,58,0.11333028988815338,0.033894295244862774
48037,"Bowie County, Texas",59803,2992,13997,1348,86368,135,0.162062337902927,0.01560557662461955
48273,"Kleberg County, Texas",61292,4466,8077,1250,28749,353,0.2809489025705242,0.04334270825986745
48229,"Hudspeth County, Texas",48600,11506,508,228,2929,13,0.17343803345851827,0.07783846069605907
48419,"Shelby County, Texas",49776,6129,4917,835,23887,91,0.2058441830284255,0.03494745531513912
48301,"Loving County, Texas",51250,617,2,2,33,30,0.06060606060606061,0.025248350936395804
48339,"Montgomery County, Texas",97701,2366,64224,4653,680151,718,0.09442609067692322,0.006840401673618952
48029,"Bexar County, Texas",72341,701,296387,9067,2027961,1300,0.14615024647909897,0.00447001157510295
48245,"Jefferson County, Texas",60026,1694,46448,2562,238359,459,0.19486572774680208,0.01074194060654197
48457,"Tyler County, Texas",55396,6988,3229,569,18037,130,0.1790209014802905,0.031519868109724465
48157,"Fort Bend County, Texas",114041,1899,67161,5682,886828,808,0.07573170896724055,0.006406733320130828
48139,"Ellis County, Texas",99595,3164,14539,2156,210653,284,0.06901871798645165,0.010234418191463755
48499,"Wood County, Texas",60300,4634,5625,941,44988,182,0.12503334222459322,0.020910571850033675
48041,"Brazos County, Texas",58553,2259,54295,2850,223745,441,0.24266464055062684,0.012728731938651542
48459,"Upshur County, Texas",66208,4679,5179,846,41908,115,0.12358022334637778,0.020184227882628317
48343,"Morris County, Texas",58645,3609,2303,489,11834,132,0.19460875443636977,0.04126455957805107
48393,"Roberts County, Texas",67868,8541,47,33,832,126,0.056490384615384616,0.038729853742339976
48289,"Leon County, Texas",61449,5115,2654,528,16183,17,0.16399925848112218,0.032626375781550455
48349,"Navarro County, Texas",63111,4150,9106,1193,53199,110,0.17116863098930432,0.022422440454586433
48185,"Grimes County, Texas",69803,4947,4044,894,27762,680,0.1456667387075859,0.03200401980690196
48467,"Van Zandt County, Texas",69475,3694,6869,1266,61897,95,0.1109746837488085,0.020452624563268934
48125,"Dickens County, Texas",49335,5467,307,91,1707,155,0.17984768599882836,0.05074697914425231
48105,"Crockett County, Texas",81022,32122,258,156,2767,282,0.09324177809902422,0.05557212113393547
48415,"Scurry County, Texas",60039,7010,1692,577,14591,88,0.11596189431841546,0.03953873996312938
48379,"Rains County, Texas",65413,5361,1268,368,12697,18,0.09986611010474915,0.02898287859968005
48261,"Kenedy County, Texas",38882,4589,22,18,144,90,0.1527777777777778,0.08066847330200654
48213,"Henderson County, Texas",65179,3668,12286,1433,83393,108,0.14732651421582146,0.01718263717828061
48355,"Nueces County, Texas",66897,1922,60147,3675,345578,341,0.17404753774835205,0.010632970629477776
48427,"Starr County, Texas",37639,4431,21981,2118,65584,20,0.3351579653574042,0.032294300328059945
48409,"San Patricio County, Texas",69704,4048,10250,1608,69345,140,0.14781166630615042,0.023186485535988285
48039,"Brazoria County, Texas",97993,3188,27893,2200,377608,484,0.07386760873710303,0.0058253783839969184
48443,"Terrell County, Texas",44886,18616,64,59,835,282,0.07664670658682635,0.06574641920657194
48211,"Hemphill County, Texas",61563,22132,197,103,3182,22,0.061910747957259586,0.03236674860347352
48067,"Cass County, Texas",53813,4921,4935,776,28173,53,0.17516771376850176,0.027542131219164212
48387,"Red River County, Texas",48491,3389,1785,365,11429,11,0.15618164318838043,0.03193594862219835
48219,"Hockley County, Texas",63140,4743,2719,569,20814,69,0.1306332276352455,0.027333938756157274
48127,"Dimmit County, Texas",38808,8956,3390,732,8247,7,0.411058566751546,0.08875886317328646
48471,"Walker County, Texas",52324,4014,11582,1504,63074,210,0.183625582648952,0.02383716867748333
48089,"Colorado County, Texas",66377,6733,2199,506,20599,34,0.10675275498810621,0.024563667270022117
48131,"Duval County, Texas",49038,8942,3013,761,9056,98,0.33270759717314485,0.08395551951572484
48475,"Ward County, Texas",65952,17987,1644,514,11016,17,0.14923747276688454,0.04665883612197867
48225,"Houston County, Texas",56531,3782,2914,549,19385,105,0.15032241423781273,0.028309159593121518
48347,"Nacogdoches County, Texas",53555,3013,13099,1123,60090,156,0.2179896821434515,0.018680063165725458
48153,"Floyd County, Texas",58462,8910,925,275,5157,52,0.17936784952491758,0.0532948964855555
48469,"Victoria County, Texas",70896,2738,14569,1965,89677,325,0.16246083165137104,0.02190406128705209
48223,"Hopkins County, Texas",70888,5106,4421,783,37224,23,0.11876746185256823,0.02103468823957195
48025,"Bee County, Texas",57673,5833,4236,767,24074,300,0.1759574644845061,0.03178455411914427
48119,"Delta County, Texas",66575,11689,612,192,5385,2,0.11364902506963788,0.035654571115549705
48455,"Trinity County, Texas",52018,4911,2433,548,13813,91,0.17613842032867588,0.03965579798211923
48015,"Austin County, Texas",75789,8661,3689,678,30860,60,0.1195398574206092,0.021968958570191977
48151,"Fisher County, Texas",65533,2822,495,115,3607,18,0.13723315774882175,0.03187509483200211
48407,"San Jacinto County, Texas",65364,6756,5148,862,28025,270,0.18369313113291705,0.030707296143660003
48405,"San Augustine County, Texas",50408,7814,2070,431,7628,41,0.27136864184583115,0.05648353011161626
48477,"Washington County, Texas",77825,5635,4574,680,34079,282,0.13421755333196397,0.019922703722285984
